Streaming output truncated to the last 5000 lines.
episode 1357 frame 700606 score 1400.0 curiosity 0.4996419921517372
episode 1358 frame 701636 score 2200.0 curiosity 1.2986421883106232
episode 1359 frame 702331 score 1200.0 curiosity 0.3960048481822014
episode 1360 frame 702921 score 600.0 curiosity 0.21713566780090332
episode 1361 frame 703781 score 1600.0 curiosity 0.6090356707572937
episode 1362 frame 704485 score 1000.0 curiosity 0.32734042406082153
episode 1363 frame 705019 score 400.0 curiosity 0.11271030828356743
episode 1364 frame 705828 score 1400.0 curiosity 0.4855582118034363
episode 1365 frame 706504 score 600.0 curiosity 0.42569079622626305
episode 1366 frame 707561 score 2400.0 curiosity 0.6382149159908295
episode 1367 frame 708439 score 1200.0 curiosity 0.756743386387825
episode 1368 frame 709055 score 800.0 curiosity 0.31772129237651825
episode 1369 frame 710041 score 2200.0 curiosity 0.48622747510671616
episode 1370 frame 710720 score 1200.0 curiosity 0.3498096168041229
episode 1371 frame 711661 score 2200.0 curiosity 0.3024684339761734
episode 1372 frame 712173 score 200.0 curiosity 0.1852416917681694
episode 1373 frame 712997 score 1600.0 curiosity 0.4212736189365387
episode 1374 frame 713893 score 2000.0 curiosity 0.6745352298021317
episode 1375 frame 714661 score 1400.0 curiosity 0.5217772796750069
episode 1376 frame 715407 score 1600.0 curiosity 0.33467597514390945
episode 1377 frame 716103 score 1400.0 curiosity 0.5018239766359329
episode 1378 frame 716589 score 400.0 curiosity 0.315873846411705
episode 1379 frame 717279 score 1200.0 curiosity 0.2892640605568886
episode 1380 frame 717699 score 400.0 curiosity 0.1488332897424698
episode 1381 frame 718342 score 1400.0 curiosity 0.4379463344812393
episode 1382 frame 718810 score 200.0 curiosity 0.10428342595696449
episode 1383 frame 719625 score 1400.0 curiosity 0.4264256954193115
episode 1384 frame 720207 score 600.0 curiosity 0.17128200083971024
episode 1385 frame 720803 score 400.0 curiosity 0.15030783414840698
episode 1386 frame 721939 score 3000.0 curiosity 0.7956745326519012
episode 1387 frame 722545 score 600.0 curiosity 0.22603639960289001
episode 1388 frame 723658 score 2400.0 curiosity 0.5510036125779152
episode 1389 frame 724892 score 2800.0 curiosity 0.6843931674957275
episode 1390 frame 725562 score 1000.0 curiosity 0.48726044595241547
episode 1391 frame 726146 score 200.0 curiosity 0.20120584219694138
episode 1392 frame 726796 score 800.0 curiosity 0.13597407191991806
episode 1393 frame 727577 score 1800.0 curiosity 0.4991292953491211
episode 1394 frame 728163 score 200.0 curiosity 0.2393757402896881
episode 1395 frame 728763 score 600.0 curiosity 0.20583134144544601
episode 1396 frame 729452 score 1200.0 curiosity 0.3884955607354641
episode 1397 frame 730235 score 1400.0 curiosity 0.40952208638191223
episode 1398 frame 730831 score 600.0 curiosity 0.20418200828135014
episode 1399 frame 731426 score 400.0 curiosity 0.19948537088930607
episode 1400 frame 732029 score 400.0 curiosity 0.14798535406589508
episode 1401 frame 732732 score 1600.0 curiosity 0.3520903252065182
episode 1402 frame 733355 score 800.0 curiosity 0.5266036242246628
episode 1403 frame 734027 score 1200.0 curiosity 0.3758370168507099
episode 1404 frame 734657 score 1200.0 curiosity 0.34732288122177124
episode 1405 frame 735228 score 400.0 curiosity 0.3870526999235153
episode 1406 frame 736063 score 1600.0 curiosity 0.5640692114830017
episode 1407 frame 736840 score 1600.0 curiosity 0.4354453682899475
episode 1408 frame 737390 score 1000.0 curiosity 0.31040632352232933
episode 1409 frame 738311 score 1800.0 curiosity 0.513993389904499
episode 1410 frame 739131 score 1800.0 curiosity 0.5507311671972275
episode 1411 frame 739808 score 1400.0 curiosity 0.4317362457513809
episode 1412 frame 740668 score 1800.0 curiosity 0.417350884526968
episode 1413 frame 741156 score 400.0 curiosity 0.12841293215751648
episode 1414 frame 741998 score 1600.0 curiosity 0.33855077624320984
episode 1415 frame 742736 score 1200.0 curiosity 0.42927301675081253
episode 1416 frame 743449 score 1400.0 curiosity 0.48833585530519485
episode 1417 frame 744514 score 2600.0 curiosity 0.46308531425893307
episode 1418 frame 745690 score 2600.0 curiosity 0.6774405241012573
episode 1419 frame 747045 score 3000.0 curiosity 0.5754647627472878
episode 1420 frame 747871 score 1800.0 curiosity 0.3785061091184616
episode 1421 frame 748816 score 1600.0 curiosity 0.4917212277650833
episode 1422 frame 750078 score 3400.0 curiosity 0.6672077476978302
episode 1423 frame 750871 score 1400.0 curiosity 0.4741438999772072
episode 1424 frame 751494 score 800.0 curiosity 0.3643432706594467
episode 1425 frame 752364 score 1400.0 curiosity 0.40305299311876297
episode 1426 frame 752868 score 200.0 curiosity 0.2101835533976555
episode 1427 frame 753582 score 800.0 curiosity 0.28431350365281105
episode 1428 frame 754330 score 1200.0 curiosity 0.3861302211880684
episode 1429 frame 755589 score 3000.0 curiosity 0.7114490047097206
episode 1430 frame 756286 score 1000.0 curiosity 0.2081085965037346
episode 1431 frame 757394 score 2400.0 curiosity 0.4223339632153511
episode 1432 frame 758644 score 2800.0 curiosity 0.6158439069986343
episode 1433 frame 759270 score 400.0 curiosity 0.3103245757520199
episode 1434 frame 759838 score 600.0 curiosity 0.15422982908785343
episode 1435 frame 760184 score 0.0 curiosity 0.1046205684542656
episode 1436 frame 761180 score 2000.0 curiosity 0.41509196907281876
episode 1437 frame 761817 score 600.0 curiosity 0.30374331027269363
episode 1438 frame 762411 score 600.0 curiosity 0.4663536548614502
episode 1439 frame 763240 score 1400.0 curiosity 0.3343052789568901
episode 1440 frame 764012 score 1400.0 curiosity 0.3426763415336609
episode 1441 frame 765138 score 2600.0 curiosity 0.5426932275295258
episode 1442 frame 766710 score 3800.0 curiosity 0.807297095656395
episode 1443 frame 767326 score 600.0 curiosity 0.2580695077776909
